
A T O M   T Y P E S

IDX	TYPE	RING
 8220    353.94597    353.94608
 8230    353.94461    353.94477
 8240    353.94249    353.94277
 8250    353.93866    353.93894
 8260    353.93790    353.93795
 8270    353.93731    353.93737
 8280    353.93665    353.93672
 8290    353.93585    353.93594
 8300    353.93482    353.93494
 8310    353.93334    353.93353
 8320    353.93083    353.93118
 8330    353.92555    353.92582
 8340    353.92486    353.92491
 8350    353.92434    353.92439
 8360    353.92377    353.92383
 8370    353.92310    353.92318
 8380    353.92227    353.92236
 8390    353.92111    353.92125
 8400    353.91929    353.91953
 8410    353.91551    353.91611
 8420    353.91287    353.91292
 8430    353.91238    353.91244
 8440    353.91183    353.91189
 8450    353.91117    353.91125
 8460    353.91031    353.91041
 8470    353.90906    353.90922
 8480    353.90688    353.90719
 8490    353.90190    353.90220
 8500    353.90126    353.90130
 8510    353.90085    353.90089
 8520    353.90042    353.90047
 8530    353.89996    353.90001
 8540    353.89944    353.89950
 8550    353.89880    353.89887
 8560    353.89794    353.89804
 8570    353.89661    353.89678
 8580    353.89402    353.89441
 8590    353.89059    353.89063
 8600    353.89021    353.89025
 8610    353.88980    353.88985
 8620    353.88936    353.88940
 8630    353.88882    353.88888
 8640    353.88814    353.88822
 8650    353.88713    353.88726
 8660    353.88537    353.88562
 8670    353.88122    353.88151
 8680    353.88064    353.88068
 8690    353.88029    353.88033
 8700    353.87992    353.87996
 8710    353.87951    353.87956
 8720    353.87902    353.87908
 8730    353.87839    353.87847
 8740    353.87746    353.87758
 8750    353.87578    353.87602
 8760    353.87176    353.87186
 8770    353.87137    353.87140
 8780    353.87099    353.87103
 8790    353.87053    353.87058
 8800    353.86992    353.86999
 8810    353.86899    353.86911
 8820    353.86720    353.86747
 8830    353.86286    353.86291
 8840    353.86255    353.86258
 8850    353.86225    353.86228
 8860    353.86194    353.86197
 8870    353.86160    353.86163
 8880    353.86119    353.86124
 8890    353.86066    353.86072
 8900    353.85985    353.85995
 8910    353.85831    353.85854
 8920    353.85468    353.85474
 8930    353.85438    353.85441
 8940    353.85405    353.85408
 8950    353.85363    353.85368
 8960    353.85304    353.85311
 8970    353.85204    353.85218
 8980    353.84958    353.85003
 8990    353.84757    353.84760
 9000    353.84723    353.84727
 9010    353.84677    353.84682
 9020    353.84604    353.84614
 9030    353.84458    353.84479
 9040    353.84408    353.84411
 9050    353.84378    353.84381
 9060    353.84340    353.84344
 9070    353.84284    353.84291
 9080    353.84182    353.84197
 9090    353.83884    353.83939
 9100    353.83809    353.83811
 9110    353.83786    353.83788
 9120    353.83761    353.83764
 9130    353.83732    353.83735
 9140    353.83694    353.83698
 9150    353.83634    353.83642
 9160    353.83510    353.83529
 9170    353.83224    353.83227
 9180    353.83203    353.83205
 9190    353.83182    353.83184
 9200    353.83159    353.83161
 9210    353.83131    353.83134
 9220    353.83093    353.83098
 9230    353.83031    353.83040
 9240    353.82885    353.82910
 9250    353.82560    353.82561
 9260    353.82540    353.82542
 9270    353.82518    353.82520
 9280    353.82489    353.82493
 9290    353.82447    353.82453
 9300    353.82366    353.82378
 9310    353.82101    353.82129
 9320    353.82057    353.82058
 9330    353.82039    353.82041
 9340    353.82019    353.82021
 9350    353.81995    353.81997
 9360    353.81959    353.81964
 9370    353.81893    353.81903
 9380    353.81664    353.81719
 9390    353.81577    353.81578
 9400    353.81560    353.81562
 9410    353.81542    353.81544
 9420    353.81519    353.81521
 9430    353.81483    353.81488
 9440    353.81411    353.81422
 9450    353.81092    353.81149
